SchoolYear,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,Local,MISTEM_NAME,MISTEM_CODE,ELAGr3Prof31aCnt,ELAGr3Prof31a,ELAGr3NotProf31aCnt,ELAGr3NotProf31a,MathGr8Prof31aCnt,MathGr8Prof31a,MathGr8NotProf31aCnt,MathGr8NotProf31a,CollegeReady31aCnt,CollegeReady31a,CollegeNotReadyCnt,CollegeNotReady
20 - 21 School Year,09,Bay-Arenac ISD,09902,State Street Academy,00000,All Buildings,09,Bay,PSA District,City: Small,East Central Michigan Region,10,< 10,25,12,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,09,Bay-Arenac ISD,09903,Bay City Academy,00000,All Buildings,09,Bay,PSA District,City: Small,East Central Michigan Region,10,< 10,19.2,21,80.8,< 10,12.5,21,87.5,< 10,< 5,23,> 95
20 - 21 School Year,11,Berrien RESA,11000,Berrien RESA  - District created from ISD,00000,All Buildings,11,Berrien,ISD District,Rural: Fringe,Southwest Region,1,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,11,Berrien RESA,11010,Benton Harbor Area Schools,00000,All Buildings,11,Berrien,LEA District,Suburb: Small,Southwest Region,1,< 10,< 5,75,> 95,< 10,< 5,74,> 95,< 10,< 5,81,> 95
20 - 21 School Year,11,Berrien RESA,11020,St. Joseph Public Schools,00000,All Buildings,11,Berrien,LEA District,Suburb: Small,Southwest Region,1,61,50.8,59,49.2,36,34,70,66,283,61.8,175,38.2
20 - 21 School Year,11,Berrien RESA,11030,Lakeshore School District (Berrien),00000,All Buildings,11,Berrien,LEA District,Suburb: Small,Southwest Region,1,54,49.5,55,50.5,47,47.5,52,52.5,32,39,50,61
20 - 21 School Year,11,Berrien RESA,11033,River Valley School District,00000,All Buildings,11,Berrien,LEA District,Rural: Distant,Southwest Region,1,< 10,38.1,13,61.9,< 10,9.1,20,90.9,14,24.1,44,75.9
20 - 21 School Year,11,Berrien RESA,11200,New Buffalo Area Schools,00000,All Buildings,11,Berrien,LEA District,Rural: Fringe,Southwest Region,1,< 10,58.3,< 10,41.7,13,50,13,50,11,28.9,27,71.1
20 - 21 School Year,11,Berrien RESA,11210,Brandywine Community Schools,00000,All Buildings,11,Berrien,LEA District,Suburb: Large,Southwest Region,1,19,27.9,49,72.1,< 10,14.1,55,85.9,21,25,63,75
20 - 21 School Year,11,Berrien RESA,11240,Berrien Springs Public Schools,00000,All Buildings,11,Berrien,LEA District,Town: Fringe,Southwest Region,1,20,22.7,68,77.3,19,15.7,102,84.3,63,15,357,85
20 - 21 School Year,11,Berrien RESA,11250,Eau Claire Public Schools,00000,All Buildings,11,Berrien,LEA District,Rural: Fringe,Southwest Region,1,< 10,11.6,38,88.4,< 10,15.7,43,84.3,13,16.3,67,83.8
20 - 21 School Year,11,Berrien RESA,11300,Niles Community Schools,00000,All Buildings,11,Berrien,LEA District,City: Small,Southwest Region,1,34,22.7,116,77.3,61,31,136,69,70,27.1,188,72.9
20 - 21 School Year,11,Berrien RESA,11310,Buchanan Community Schools,00000,All Buildings,11,Berrien,LEA District,Suburb: Large,Southwest Region,1,22,38.6,35,61.4,31,34.1,60,65.9,48,33.3,96,66.7
20 - 21 School Year,11,Berrien RESA,11320,Watervliet School District,00000,All Buildings,11,Berrien,LEA District,Town: Fringe,Southwest Region,1,17,19.8,69,80.2,33,40.7,48,59.3,67,32.2,141,67.8
20 - 21 School Year,11,Berrien RESA,11330,Coloma Community Schools,00000,All Buildings,11,Berrien,LEA District,Town: Fringe,Southwest Region,1,17,30.4,39,69.6,19,26.4,53,73.6,39,26.7,107,73.3
20 - 21 School Year,11,Berrien RESA,11340,Bridgman Public Schools,00000,All Buildings,11,Berrien,LEA District,Suburb: Small,Southwest Region,1,19,55.9,15,44.1,24,43.6,31,56.4,24,38.7,38,61.3
20 - 21 School Year,11,Berrien RESA,11670,Hagar Township S/D #6,00000,All Buildings,11,Berrien,LEA District,Rural: Fringe,Southwest Region,1,< 10,25,< 10,75,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A
20 - 21 School Year,11,Berrien RESA,11830,Sodus Township S/D #5,00000,All Buildings,11,Berrien,LEA District,Rural: Fringe,Southwest Region,1,< 10,55.6,< 10,44.4,< 10,< 5,< 10,> 95,N/A,N/A,N/A,N/A
20 - 21 School Year,11,Berrien RESA,11901,Countryside Academy,00000,All Buildings,11,Berrien,PSA District,Rural: Fringe,Southwest Region,1,10,18.9,43,81.1,< 10,9.4,29,90.6,< 10,25,24,75
20 - 21 School Year,11,Berrien RESA,11903,Benton Harbor Charter School Academy,00000,All Buildings,11,Berrien,PSA District,Suburb: Small,Southwest Region,1,< 10,< 5,19,> 95,< 10,< 5,12,> 95,N/A,N/A,N/A,N/A
20 - 21 School Year,11,Berrien RESA,11904,Mildred C. Wells Preparatory Academy,00000,All Buildings,11,Berrien,PSA District,Suburb: Small,Southwest Region,1,< 10,10,18,90,< 10,< 5,< 10,> 95,N/A,N/A,N/A,N/A
20 - 21 School Year,12,Branch ISD,12000,Branch ISD  - District created from ISD,00000,All Buildings,12,Branch,ISD District,Town: Distant,Southwest Region,1,N/A,N/A,N/A,N/A,< 10,10,< 10,90,< 10,< 10,< 10,< 10
20 - 21 School Year,12,Branch ISD,12010,Coldwater Community Schools,00000,All Buildings,12,Branch,LEA District,Town: Distant,Southwest Region,1,31,22,110,78,50,24.5,154,75.5,100,28.7,248,71.3
20 - 21 School Year,12,Branch ISD,12020,Bronson Community School District,00000,All Buildings,12,Branch,LEA District,Rural: Distant,Southwest Region,1,24,36.9,41,63.1,11,20.4,43,79.6,29,23.4,95,76.6
20 - 21 School Year,12,Branch ISD,12040,Quincy Community Schools,00000,All Buildings,12,Branch,LEA District,Town: Distant,Southwest Region,1,27,47.4,30,52.6,18,24,57,76,48,35.8,86,64.2
20 - 21 School Year,12,Branch ISD,12901,Pansophia Academy,00000,All Buildings,12,Branch,PSA District,Town: Distant,Southwest Region,1,< 10,10.3,26,89.7,< 10,< 5,20,> 95,< 10,19.2,21,80.8
20 - 21 School Year,13,Calhoun Intermediate School District,13000,Calhoun Intermediate School District  - District created from ISD,00000,All Buildings,13,Calhoun,ISD District,Suburb: Small,Southwest Region,1,N/A,N/A,N/A,N/A,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A
20 - 21 School Year,13,Calhoun Intermediate School District,13020,Battle Creek Public Schools,00000,All Buildings,13,Calhoun,LEA District,City: Small,Southwest Region,1,32,14.7,185,85.3,16,8.4,175,91.6,34,9.9,310,90.1
20 - 21 School Year,13,Calhoun Intermediate School District,13050,Athens Area Schools,00000,All Buildings,13,Calhoun,LEA District,Rural: Distant,Southwest Region,1,< 10,22.7,17,77.3,< 10,25,24,75,12,31.6,26,68.4
20 - 21 School Year,13,Calhoun Intermediate School District,13070,Harper Creek Community Schools,00000,All Buildings,13,Calhoun,LEA District,Rural: Fringe,Southwest Region,1,43,29.3,104,70.7,31,17.1,150,82.9,60,23.6,194,76.4
20 - 21 School Year,13,Calhoun Intermediate School District,13080,Homer Community School District,00000,All Buildings,13,Calhoun,LEA District,Rural: Distant,Southwest Region,1,19,38.8,30,61.2,10,16.9,49,83.1,19,18.3,85,81.7
20 - 21 School Year,13,Calhoun Intermediate School District,13090,Lakeview Sch. District (Calhoun),00000,All Buildings,13,Calhoun,LEA District,City: Small,Southwest Region,1,55,25.9,157,74.1,55,20.5,213,79.5,89,25.2,264,74.8
20 - 21 School Year,13,Calhoun Intermediate School District,13095,Mar Lee School District,00000,All Buildings,13,Calhoun,LEA District,Rural: Distant,Southwest Region,1,< 10,16.7,10,83.3,< 10,25.9,20,74.1,N/A,N/A,N/A,N/A
20 - 21 School Year,13,Calhoun Intermediate School District,13110,Marshall Public Schools,00000,All Buildings,13,Calhoun,LEA District,Town: Fringe,Southwest Region,1,40,35.7,72,64.3,17,20.2,67,79.8,106,40.5,156,59.5
20 - 21 School Year,13,Calhoun Intermediate School District,13120,Pennfield Schools,00000,All Buildings,13,Calhoun,LEA District,Rural: Fringe,Southwest Region,1,14,12.8,95,87.2,17,11.8,127,88.2,22,17.5,104,82.5
20 - 21 School Year,13,Calhoun Intermediate School District,13130,Tekonsha Community Schools,00000,All Buildings,13,Calhoun,LEA District,Rural: Distant,Southwest Region,1,< 10,7.1,13,92.9,< 10,12.5,14,87.5,< 10,22.5,31,77.5
20 - 21 School Year,13,Calhoun Intermediate School District,13135,Union City Community Schools,00000,All Buildings,13,Calhoun,LEA District,Rural: Distant,Southwest Region,1,11,25,33,75,35,47.9,38,52.1,24,20.3,94,79.7
20 - 21 School Year,13,Calhoun Intermediate School District,13900,Battle Creek Montessori Academy,00000,All Buildings,13,Calhoun,PSA District,Suburb: Small,Southwest Region,1,< 10,36.4,< 10,63.6,< 10,< 5,< 10,> 95,N/A,N/A,N/A,N/A
20 - 21 School Year,13,Calhoun Intermediate School District,13901,Arbor Academy,00000,All Buildings,13,Calhoun,PSA District,City: Small,Southwest Region,1,< 10,7.4,25,92.6,< 10,50,< 10,50,N/A,N/A,N/A,N/A
20 - 21 School Year,13,Calhoun Intermediate School District,13902,Endeavor Charter Academy,00000,All Buildings,13,Calhoun,PSA District,Suburb: Small,Southwest Region,1,17,30.4,39,69.6,< 10,20.5,31,79.5,N/A,N/A,N/A,N/A
20 - 21 School Year,13,Calhoun Intermediate School District,13903,Marshall Academy,00000,All Buildings,13,Calhoun,PSA District,Rural: Fringe,Southwest Region,1,< 10,33.3,< 10,66.7,< 10,18.2,< 10,81.8,10,41.7,14,58.3
20 - 21 School Year,13,Calhoun Intermediate School District,13904,Battle Creek Area Learning Center,00000,All Buildings,13,Calhoun,PSA District,Suburb: Small,Southwest Region,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,< 10,5,19,95
20 - 21 School Year,13,Calhoun Intermediate School District,23010,Bellevue Community Schools,00000,All Buildings,13,Calhoun,LEA District,Rural: Distant,Southwest Region,1,< 10,23.1,30,76.9,< 10,8,46,92,17,25,51,75
20 - 21 School Year,13,Calhoun Intermediate School District,23080,Olivet Community Schools,00000,All Buildings,13,Calhoun,LEA District,Rural: Distant,Southwest Region,1,19,36.5,33,63.5,21,29.2,51,70.8,67,36.8,115,63.2
20 - 21 School Year,14,Heritage Southwest Intermediate School District,14000,Heritage Southwest Intermediate School District  - District created from ISD,00000,All Buildings,14,Cass,ISD District,Town: Fringe,Southwest Region,1,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A
20 - 21 School Year,14,Heritage Southwest Intermediate School District,14010,Cassopolis Public Schools,00000,All Buildings,14,Cass,LEA District,Rural: Distant,Southwest Region,1,15,28.3,38,71.7,< 10,10.7,50,89.3,21,25.6,61,74.4
20 - 21 School Year,14,Heritage Southwest Intermediate School District,14020,Dowagiac Union School District,00000,All Buildings,14,Cass,LEA District,Town: Fringe,Southwest Region,1,36,27.1,97,72.9,29,23,97,77,52,24.5,160,75.5
20 - 21 School Year,14,Heritage Southwest Intermediate School District,14030,Edwardsburg Public Schools,00000,All Buildings,14,Cass,LEA District,Suburb: Large,Southwest Region,1,51,49,53,51,50,31.8,107,68.2,93,45.6,111,54.4
20 - 21 School Year,14,Heritage Southwest Intermediate School District,14050,Marcellus Community Schools,00000,All Buildings,14,Cass,LEA District,Rural: Distant,Southwest Region,1,15,45.5,18,54.5,12,27.9,31,72.1,17,22.4,59,77.6
20 - 21 School Year,15,Charlevoix-Emmet ISD,05035,Central Lake Public Schools,00000,All Buildings,15,Charlevoix,LEA District,Rural: Remote,Northwestern Lower Michigan Region,13,< 10,41.2,10,58.8,< 10,< 5,15,> 95,< 10,7.1,13,92.9
20 - 21 School Year,15,Charlevoix-Emmet ISD,05065,Ellsworth Community School,00000,All Buildings,15,Charlevoix,LEA District,Rural: Distant,Northwestern Lower Michigan Region,13,< 10,11.8,15,88.2,< 10,30,< 10,70,< 10,50,< 10,50
20 - 21 School Year,15,Charlevoix-Emmet ISD,15000,Charlevoix-Emmet ISD  - District created from ISD,00000,All Buildings,15,Charlevoix,ISD District,Town: Remote,Northwestern Lower Michigan Region,13,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A,< 10,< 10,< 10,< 10
20 - 21 School Year,15,Charlevoix-Emmet ISD,15010,Beaver Island Community School,00000,All Buildings,15,Charlevoix,LEA District,Rural: Remote,Northwestern Lower Michigan Region,13,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10
20 - 21 School Year,15,Charlevoix-Emmet ISD,15020,Boyne City Public Schools,00000,All Buildings,15,Charlevoix,LEA District,Town: Remote,Northwestern Lower Michigan Region,13,39,56.5,30,43.5,21,30,49,70,42,35,78,65
20 - 21 School Year,15,Charlevoix-Emmet ISD,15030,Boyne Falls Public School District,00000,All Buildings,15,Charlevoix,LEA District,Rural: Fringe,Northwestern Lower Michigan Region,13,< 10,44.4,< 10,55.6,< 10,< 10,< 10,< 10,< 10,25,12,75
20 - 21 School Year,15,Charlevoix-Emmet ISD,15050,Charlevoix Public Schools,00000,All Buildings,15,Charlevoix,LEA District,Rural: Fringe,Northwestern Lower Michigan Region,13,24,60,16,40,< 10,28,18,72,39,45.3,47,54.7
20 - 21 School Year,15,Charlevoix-Emmet ISD,15060,East Jordan Public Schools,00000,All Buildings,15,Charlevoix,LEA District,Rural: Distant,Northwestern Lower Michigan Region,13,< 10,26.7,22,73.3,13,40.6,19,59.4,33,32.4,69,67.6
20 - 21 School Year,15,Charlevoix-Emmet ISD,15901,Concord Academy - Boyne,00000,All Buildings,15,Charlevoix,PSA District,Rural: Fringe,Northwestern Lower Michigan Region,13,< 10,< 10,< 10,< 10,< 10,10,< 10,90,< 10,50,< 10,50
20 - 21 School Year,15,Charlevoix-Emmet ISD,15902,Charlevoix Academy,00000,All Buildings,15,Charlevoix,PSA District,Town: Remote,Northwestern Lower Michigan Region,13,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10
20 - 21 School Year,15,Charlevoix-Emmet ISD,24020,Harbor Springs School District,00000,All Buildings,15,Charlevoix,LEA District,Rural: Distant,Northwestern Lower Michigan Region,13,< 10,27.6,21,72.4,13,30.2,30,69.8,16,33.3,32,66.7
20 - 21 School Year,15,Charlevoix-Emmet ISD,24030,Alanson Public Schools,00000,All Buildings,15,Charlevoix,LEA District,Rural: Distant,Northwestern Lower Michigan Region,13,< 10,50,< 10,50,< 10,38.1,13,61.9,< 10,31.8,15,68.2
20 - 21 School Year,15,Charlevoix-Emmet ISD,24040,Pellston Public Schools,00000,All Buildings,15,Charlevoix,LEA District,Rural: Distant,Northwestern Lower Michigan Region,13,< 10,32,17,68,< 10,16.7,20,83.3,< 10,20.5,35,79.5
20 - 21 School Year,15,Charlevoix-Emmet ISD,24070,Public Schools of Petoskey,00000,All Buildings,15,Charlevoix,LEA District,Town: Remote,Northwestern Lower Michigan Region,13,45,54.9,37,45.1,34,36.2,60,63.8,129,45.1,157,54.9
20 - 21 School Year,15,Charlevoix-Emmet ISD,24901,Concord Academy - Petoskey,00000,All Buildings,15,Charlevoix,PSA District,Rural: Fringe,Northwestern Lower Michigan Region,13,< 10,> 95,< 10,< 5,< 10,< 10,< 10,< 10,< 10,25,< 10,75
20 - 21 School Year,16,Cheb-Otsego-Presque Isle ESD,16015,Cheboygan Area Schools,00000,All Buildings,16,Cheboygan,LEA District,Town: Remote,NEMi Region (Northeast Michigan) Region,12,16,26.7,44,73.3,27,31.8,58,68.2,36,22.2,126,77.8
20 - 21 School Year,16,Cheb-Otsego-Presque Isle ESD,16050,Inland Lakes Schools,00000,All Buildings,16,Cheboygan,LEA District,Rural: Remote,NEMi Region (Northeast Michigan) Region,12,< 10,20.8,19,79.2,16,36.4,28,63.6,36,45,44,55
20 - 21 School Year,16,Cheb-Otsego-Presque Isle ESD,16070,Mackinaw City Public Schools,00000,All Buildings,16,Cheboygan,LEA District,Rural: Distant,NEMi Region (Northeast Michigan) Region,12,< 10,80,< 10,20,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10
20 - 21 School Year,16,Cheb-Otsego-Presque Isle ESD,16100,Wolverine Community School District,00000,All Buildings,16,Cheboygan,LEA District,Rural: Remote,NEMi Region (Northeast Michigan) Region,12,< 10,31.6,13,68.4,< 10,< 5,11,> 95,< 10,9.4,29,90.6
20 - 21 School Year,16,Cheb-Otsego-Presque Isle ESD,69020,Gaylord Community Schools,00000,All Buildings,16,Cheboygan,LEA District,Rural: Fringe,NEMi Region (Northeast Michigan) Region,12,57,35.8,102,64.2,46,29.7,109,70.3,88,38.9,138,61.1
20 - 21 School Year,16,Cheb-Otsego-Presque Isle ESD,69030,Johannesburg-Lewiston Area Schools,00000,All Buildings,16,Cheboygan,LEA District,Rural: Distant,NEMi Region (Northeast Michigan) Region,12,15,45.5,18,54.5,< 10,25,24,75,20,32.3,42,67.7
20 - 21 School Year,16,Cheb-Otsego-Presque Isle ESD,69040,Vanderbilt Area Schools,00000,All Buildings,16,Cheboygan,LEA District,Rural: Distant,NEMi Region (Northeast Michigan) Region,12,< 10,< 5,< 10,> 95,< 10,40,< 10,60,< 10,< 10,< 10,< 10
20 - 21 School Year,16,Cheb-Otsego-Presque Isle ESD,71050,Onaway Area Community School District,00000,All Buildings,16,Cheboygan,LEA District,Rural: Remote,NEMi Region (Northeast Michigan) Region,12,< 10,13,20,87,< 10,< 5,23,> 95,10,25,30,75
20 - 21 School Year,16,Cheb-Otsego-Presque Isle ESD,71060,Posen Consolidated School District No. 9,00000,All Buildings,16,Cheboygan,LEA District,Rural: Remote,NEMi Region (Northeast Michigan) Region,12,< 10,22.2,< 10,77.8,< 10,28.6,< 10,71.4,< 10,< 10,< 10,< 10
20 - 21 School Year,16,Cheb-Otsego-Presque Isle ESD,71080,Rogers City Area Schools,00000,All Buildings,16,Cheboygan,LEA District,Town: Remote,NEMi Region (Northeast Michigan) Region,12,< 10,26.3,14,73.7,< 10,10.7,25,89.3,15,25,45,75
20 - 21 School Year,17,Eastern Upper Peninsula ISD,17000,Eastern Upper Peninsula ISD  - District created from ISD,00000,All Buildings,17,Chippewa,ISD District,Rural: Distant,Eastern Upper Peninsula Region,14,N/A,N/A,N/A,N/A,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10
20 - 21 School Year,17,Eastern Upper Peninsula ISD,17010,Sault Ste. Marie Area Schools,00000,All Buildings,17,Chippewa,LEA District,Rural: Fringe,Eastern Upper Peninsula Region,14,17,21.8,61,78.2,28,28.6,70,71.4,56,29.2,136,70.8
20 - 21 School Year,17,Eastern Upper Peninsula ISD,17050,DeTour Area Schools,00000,All Buildings,17,Chippewa,LEA District,Rural: Remote,Eastern Upper Peninsula Region,14,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A,< 10,< 10,< 10,< 10
20 - 21 School Year,17,Eastern Upper Peninsula ISD,17090,Pickford Public Schools,00000,All Buildings,17,Chippewa,LEA District,Rural: Distant,Eastern Upper Peninsula Region,14,< 10,7.1,13,92.9,< 10,16,21,84,13,34.2,25,65.8
20 - 21 School Year,17,Eastern Upper Peninsula ISD,17110,Rudyard Area Schools,00000,All Buildings,17,Chippewa,LEA District,Rural: Distant,Eastern Upper Peninsula Region,14,10,35.7,18,64.3,< 10,12.1,29,87.9,13,24.1,41,75.9
20 - 21 School Year,17,Eastern Upper Peninsula ISD,17140,Brimley Area Schools,00000,All Buildings,17,Chippewa,LEA District,Rural: Distant,Eastern Upper Peninsula Region,14,< 10,27.8,13,72.2,< 10,22.6,24,77.4,13,29.5,31,70.5
20 - 21 School Year,17,Eastern Upper Peninsula ISD,17160,Whitefish Township Schools,00000,All Buildings,17,Chippewa,LEA District,Rural: Remote,Eastern Upper Peninsula Region,14,< 10,< 10,< 10,< 10,< 10,20,< 10,80,< 10,< 10,< 10,< 10
20 - 21 School Year,17,Eastern Upper Peninsula ISD,17900,Lake Superior Academy,00000,All Buildings,17,Chippewa,PSA District,Rural: Distant,Eastern Upper Peninsula Region,14,< 10,28.6,< 10,71.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,17,Eastern Upper Peninsula ISD,17901,Joseph K. Lumsden Bahweting Anishnabe Academy,00000,All Buildings,17,Chippewa,PSA District,Rural: Fringe,Eastern Upper Peninsula Region,14,14,35,26,65,< 10,17.2,24,82.8,N/A,N/A,N/A,N/A
20 - 21 School Year,17,Eastern Upper Peninsula ISD,17902,Ojibwe Charter School,00000,All Buildings,17,Chippewa,PSA District,Rural: Distant,Eastern Upper Peninsula Region,14,< 10,< 10,< 10,< 10,N/A,N/A,N/A,N/A,< 10,25,< 10,75
20 - 21 School Year,17,Eastern Upper Peninsula ISD,17903,DeTour Arts and Technology Academy,00000,All Buildings,17,Chippewa,PSA District,Rural: Remote,Eastern Upper Peninsula Region,14,< 10,< 10,< 10,< 10,< 10,25,< 10,75,N/A,N/A,N/A,N/A
